职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
视觉软件开发工程师,1-2万/月,东莞,东莞市欧特自动化技术有限公司,民营公司,50-150人,仪器仪表/工业自动化,08-15
嵌入式软件工程师,0.5-1万/月,广州,广州市安贝电子有限公司,民营公司,50-150人,电子技术/半导体/集成电路,08-15
嵌入式软件工程师（信号处理）,1.5-3万/月,长沙-岳麓区,湖南北云科技有限公司,民营公司,50-150人,计算机软件,08-15
电机驱动算法软件工程师,1.5-2.5万/月,佛山-顺德区,美的集团家用空调事业部,民营公司,10000人以上,家具/家电/玩具/礼品,08-15
软件工程师五险一金双休,4-6千/月,长春-二道区,吉林省鑫睿互联网络信息技术有限公司,民营公司,少于50人,通信/电信运营、增值服务,08-15
中高级QT软件工程师,0.8-1.5万/月,广州-花都区,广州达森灯光股份有限公司,民营公司,150-500人,电子技术/半导体/集成电路,08-15
C#软件开发工程师,0.8-1.5万/月,苏州-相城区,苏州帮和智迅信息科技有限公司,民营公司,少于50人,计算机软件,08-15
嵌入式软件工程师,1.5-2万/月,苏州,苏州万瑞达电气有限公司,民营公司,50-150人,仪器仪表/工业自动化,08-15
嵌入式软件工程师,0.8-1万/月,上海-浦东新区,上海智驱智能科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,08-15
嵌入式软件工程师,10-18万/年,深圳-宝安区,深圳新智联软件有限公司,民营公司,50-150人,计算机软件,08-15
BMS软件工程师,1.8-2.5万/月,广州-黄埔区,广州驰铭电子有限公司,民营公司,150-500人,电子技术/半导体/集成电路,08-15
量化软件工程师,2.5-3万/月,青岛-市南区,青岛嘉宏财富资产管理有限公司,民营公司,少于50人,金融/投资/证券,08-15
视觉软件工程师,1-1.8万/月,深圳-宝安区,深圳信仪测控技术有限公司,民营公司,50-150人,仪器仪表/工业自动化,08-15
嵌入式软件开发工程师（蓝牙语音）,1-1.5万/月,深圳-龙岗区,深圳市矽昊智能科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,08-15
电子软件工程师（新能源汽车）,1.5-2万/月,上海-闵行区,上海飞龙新能源汽车部件有限公司,民营公司,50-150人,汽车,08-15
Java软件开发工程师,0.8-1.3万/月,深圳-龙华区,深圳市理德铭科技股份有限公司,民营公司,150-500人,互联网/电子商务,08-15
软件开发工程师,0.8-1万/月,昆山,鼎镁（昆山）新材料科技有限公司,外资（非欧美）,1000-5000人,机械/设备/重工,08-15
嵌入式软件工程师,0.6-1.2万/月,深圳-南山区,华瑞昇电子（深圳）有限公司,外资（欧美）,50-150人,电子技术/半导体/集成电路,08-15
软件工程师,1-1.8万/月,深圳-光明区,深圳市欣博跃电子有限公司,外资（非欧美）,500-1000人,电子技术/半导体/集成电路,08-15
DCS软件工程师,1-1.5万/月,常州-金坛区,江苏金旺智能科技有限公司,民营公司,500-1000人,机械/设备/重工,08-15
助理软件工程师,4.5-6千/月,东莞-万江区,东莞市华盾电子科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,08-15
java 软件工程师,1-1.2万/月,嘉兴,嘉兴凯实生物科技有限公司,民营公司,150-500人,医疗设备/器械,08-15
软件开发工程师,1-2万/月,西安-高新技术产业开发区,北京爱学思技术有限公司,民营公司,少于50人,计算机软件,08-15
嵌入式软件工程师,1-1.5万/月,长沙-雨花区,湖南菲尔斯特传感器有限公司,民营公司,150-500人,仪器仪表/工业自动化,08-15
软件工程师,1.2-3万/月,深圳-龙华区,声索集团,民营公司,150-500人,电子技术/半导体/集成电路,08-15
pb软件开发工程师,1-1.5万/月,深圳-福田区,深圳市海德泰格软件技术有限公司,民营公司,50-150人,计算机软件,08-15
软件工程师,1-1.6万/月,广州-黄埔区,广州广华深启科技有限责任公司,创业公司,少于50人,医疗设备/器械,08-15
软件工程师,0.5-1万/月,肇庆,广东嘉仪仪器集团有限公司,民营公司,50-150人,仪器仪表/工业自动化,08-15
软件工程师(Android framework),0.8-1.5万/月,武汉-东湖新技术产业开发区,深圳市慧为智能科技股份有限公司,上市公司,150-500人,计算机硬件,08-15
C++/python 软件工程师,1.5-2万/月,海口-琼山区,蓝水投资管理（宁波）有限公司,民营公司,少于50人,计算机软件,08-15
MCU软件工程师,1.3-2.5万/月,深圳-福田区,深圳市华威信达科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,08-15
嵌入式软件工程师,1-1.5万/月,深圳-宝安区,深圳市比心通信有限公司,民营公司,50-150人,计算机软件,08-15
软件开发工程师,18-30万/年,常州,常州联力自动化科技有限公司,民营公司,150-500人,仪器仪表/工业自动化,08-15
嵌入式软件工程师,7-9千/月,深圳-宝安区,深圳市德安里科技有限公司,民营公司,50-150人,家具/家电/玩具/礼品,08-15
电子软件工程师,15-25万/年,宁波,宁波汉浦集团有限公司,合资,500-1000人,家具/家电/玩具/礼品,08-15
QT软件工程师,0.8-1万/月,深圳,深圳阿珂法先进科技有限公司,民营公司,50-150人,仪器仪表/工业自动化,08-15
PC软件工程师,0.8-1万/月,南京,南京华士电子科技有限公司,民营公司,150-500人,电子技术/半导体/集成电路,08-15
底层软件工程师,1-1.5万/月,宁波,宁波赛福汽车制动有限公司,民营公司,50-150人,汽车,08-15
软件工程师,1-1.5万/月,台州-温岭市,浙江壹云云计算有限公司,创业公司,少于50人,计算机软件,08-15
C++软件开发工程师,30-50万/年,上海-嘉定区,上海樵弋机器人科技有限公司,创业公司,少于50人,电子技术/半导体/集成电路,08-15
软件工程师（包吃住/单身公寓）,12-60万/年,宁波-宁海县,宁波能芯电子有限公司,民营公司,150-500人,电子技术/半导体/集成电路,08-15
软件工程师,0.5-1万/月,上海-闵行区,上海安艾缇智能科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,08-15
嵌入式软件工程师,1-1.5万/月,广州-天河区,广州市菱朗电子科技有限公司,民营公司,150-500人,电子技术/半导体/集成电路,08-15
嵌入式软件工程师,1-1.5万/月,无锡-惠山区,安特速（江苏）医疗科技有限公司,外资（非欧美）,50-150人,医疗设备/器械,08-15
五金-嵌入式软件开发工程师,1.5-2万/月,中山,广东顶固集创家居股份有限公司,上市公司,1000-5000人,家居/室内设计/装潢,08-15
嵌入式软件工程师（急招）,1.5-2.5万/月,深圳-龙华区,深圳市大恒物联技术有限公司,民营公司,少于50人,仪器仪表/工业自动化,08-15
软件开发工程师,1.5-2万/月,上海-浦东新区,上海鑫测信息技术有限公司,民营公司,少于50人,计算机软件,08-15
软件工程师,2-2.5万/月,上海-松江区,上海博强微电子有限公司,上市公司,150-500人,电子技术/半导体/集成电路,08-15
软件工程师,1-1.5万/月,南京-江宁区,南京久驰机电实业有限公司,外资（非欧美）,150-500人,机械/设备/重工,08-15
软件工程师,1.5-2万/月,苏州-吴中区,苏州茂特斯自动化设备有限公司,民营公司,150-500人,仪器仪表/工业自动化,08-15
嵌入式软件工程师,1-1.5万/月,无锡-无锡新区,无锡灵龙芯物联网科技有限公司,创业公司,少于50人,电子技术/半导体/集成电路,08-15
软件工程师嵌入式,0.6-1.5万/月,武汉-洪山区,武汉莱斯特电子科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,08-15
高级嵌入式软件开发工程师,1.2-2万/月,杭州-西湖区,杭州势垒科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,08-15
嵌入式linux软件工程师,1-2万/月,泉州,泉州巨晖电子有限公司,民营公司,50-150人,电子技术/半导体/集成电路,08-15
Modem软件开发工程师,0.8-3万/月,上海-闵行区,塔上半导体（上海）有限公司,创业公司,少于50人,电子技术/半导体/集成电路,08-15
嵌入式软件工程师,0.8-1万/月,南京-浦口区,南京微麦科斯电子科技有限责任公司,民营公司,少于50人,电子技术/半导体/集成电路,08-15
