职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
厨师,3-6千/月,昆明-西山区,中国十九冶集团有限公司云南分公司,国企,150-500人,建筑/建材/工程,08-15
韩餐厨师,5-8千/月,蚌埠,蚌埠国显科技有限公司,国企,1000-5000人,电子技术/半导体/集成电路,08-15
厨师（5000人公司食堂）,6-6.5千/月,东莞-黄江镇,东莞市国锐自动化设备科技有限公司,合资,50-150人,仪器仪表/工业自动化,08-15
食堂厨师,4.5-6千/月,青岛-胶州市,青岛海硕健身器材有限公司,民营公司,150-500人,机械/设备/重工,08-15
食堂厨师,0.8-1万/月,苏州-相城区,江苏省建筑工程集团第二工程有限公司,上市公司,,建筑/建材/工程,08-15
厨师长,6-8千/月,成都-温江区,四川快眼迈步传媒科技有限公司,民营公司,50-150人,互联网/电子商务,08-15
厨师,2-4千/月,西安-未央区,西安三力消防安全设备有限公司,民营公司,,机械/设备/重工,08-15
厨师,0.8-1万/月,成都-青羊区,成都道合房地产营销策划有限公司,民营公司,50-150人,房地产,08-15
厨师长,1-1.5万/月,杭州-上城区,浙江国茂保险经纪有限公司,民营公司,少于50人,保险,08-15
厨师（江北）,5-6千/月,宁波,宁波贝佳家具有限公司,合资,500-1000人,家具/家电/玩具/礼品,08-15
南京双语学校西餐厨师,5-8千/月,南京-江宁区,康帕斯（中国）企业管理服务有限公司,外资（欧美）,500-1000人,餐饮业,08-15
中餐厨师,6-8千/月,深圳-坪山区,深圳市永祥药房连锁有限公司,民营公司,150-500人,制药/生物工程,08-15
厨师,3-3.5千/月,成都-新都区,成都流航物流有限公司,民营公司,150-500人,交通/运输/物流,08-15
中餐厨师,4.5-6千/月,东莞-大岭山镇,深圳市嘉霖置业集团有限公司,民营公司,50-150人,房地产,08-15
食堂厨师,4-5千/月,无锡-宜兴市,宜兴万达广场商业管理有限公司,民营公司,50-150人,物业管理/商业中心,08-15
西餐厨师（展厅会所私厨）,0.6-1万/月,深圳-南山区,深圳市澳燊科技集团,民营公司,50-150人,建筑/建材/工程,08-15
厨师(钟村),5.5-6.5千/月,广州-番禺区,广州市鸿丰饮食服务连锁有限公司,民营公司,150-500人,餐饮业,08-15
员工饭堂厨师,5-7千/月,惠州,深圳瑞奇德科技开发有限公司,民营公司,150-500人,多元化业务集团公司,08-15
