职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
少儿英语老师（瑞思世纪城）,0.8-1.2万/月,昆明-官渡区,AKNF教育集团,民营公司,500-1000人,教育/培训/院校,08-15
巧虎KIDS早教中心英语早教老师,6-8千/月,深圳-福田区,深圳市睿儿乐教育咨询有限公司,民营公司,50-150人,教育/培训/院校,08-15
高中英语教师,0.8-1万/月,上海-嘉定区,上海德慧苑艺术培训学校有限公司,民营公司,少于50人,教育/培训/院校,08-15
少儿英语老师,0.5-1.2万/月,张家港,张家港市长颈鹿美语,民营公司,少于50人,教育/培训/院校,08-15
中小学英语、数学、语文老师,4-8千/月,青岛-市北区,青岛睿花苑文化传播有限公司,民营公司,150-500人,教育/培训/院校,08-15
英语老师（茂名东汇城中心）,0.4-1万/月,茂名,茂名鸿儒教育咨询有限公司,民营公司,少于50人,教育/培训/院校,08-15
英语辅导老师（保底6K+提供住宿）,0.8-1万/月,佛山-顺德区,佛山市顺德区容桂街道晓师教育培训中心有限公司,民营公司,,计算机软件,08-15
考研英语老师,0.8-1.5万/月,西安-碑林区,西安新航道语言培训学校有限公司,民营公司,1000-5000人,教育/培训/院校,08-15
少儿英语老师（沈阳浑南奥体中心）,6-8千/月,沈阳-浑南区,爱贝英语（加盟）,民营公司,500-1000人,教育/培训/院校,08-15
英语教师（8000-10000元/月）,0.8-1万/月,沈阳,沈阳市阳光瑞博教育培训学校,民营公司,150-500人,教育/培训/院校,08-15
英语助教/早教中心助教老师,0.5-1万/月,上海-奉贤区,上海宝悦文化艺术有限公司,民营公司,,影视/媒体/艺术/文化传播,08-15
幼少儿英语教师（闵行吴泾）,1-1.6万/月,上海-闵行区,上海银虎信息科技有限公司,外资（非欧美）,1000-5000人,教育/培训/院校,08-15
英语老师,0.6-1万/月,宁波-鄞州区,宁波市鄞州区英桥培训学校有限公司,民营公司,50-150人,教育/培训/院校,08-15
少儿英语老师（五险一金+双休）,1.1-2万/月,深圳-龙岗区,深圳贝优佳教育科技有限公司,民营公司,50-150人,教育/培训/院校,08-15
初中英语老师/五险一金,0.8-1万/月,厦门,厦门高度格优教育咨询有限公司,民营公司,少于50人,教育/培训/院校,08-15
初高中英语老师,0.6-1万/月,广州-番禺区,广州松鼠智适应教育科技有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语教师,4.5-6千/月,宁波-鄞州区,宁波东钱湖旅游度假区新梦想培训学校,民营公司,50-150人,教育/培训/院校,08-15
小/中学英语老师,3-9千/月,惠州-惠城区,惠州市毓惠教育科技有限公司,民营公司,50-150人,教育/培训/院校,08-15
初中英语老师(平阴校区）,0.7-1.4万/月,济南,济南市天材教育培训学校,上市公司,10000人以上,教育/培训/院校,08-15
英语老师,0.8-1.5万/月,深圳,深圳市罗湖区乔治亚教育培训中心,民营公司,50-150人,教育/培训/院校,08-15
少儿英语老师,0.6-1万/月,南昌-西湖区,南昌睿町教育咨询有限公司,民营公司,少于50人,教育/培训/院校,08-15
中小学英语老师,3.5-8千/月,合肥-瑶海区,合肥易教易乐培训学校有限公司,民营公司,少于50人,教育/培训/院校,08-15
资深少儿英语老师,0.6-1.2万/月,上海-青浦区,上海青浦吉的堡少儿英语培训学校,非营利组织,150-500人,教育/培训/院校,08-15
招聘英语老师,200元/天,上海-徐汇区,腾飞教育,合资,150-500人,教育/培训/院校,08-15
幼儿园英语老师,6-8千/月,成都-成华区,四川省成都市宝贝印象教育信息咨询有限公司,民营公司,50-150人,教育/培训/院校,08-15
考研英语老师,0.8-1.5万/月,南通-崇川区,海天考研南通分校,民营公司,50-150人,教育/培训/院校,08-15
English Teacher 高级成人英语老师,15-20万/年,深圳-宝安区,深圳市维特教育培训有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语老师,0.7-1.5万/月,深圳-龙岗区,东莞贝特尔英语培训有限公司,民营公司,150-500人,教育/培训/院校,08-15
英语老师助教/班主任,0.7-1万/月,深圳-宝安区,深圳市讯得达教育发展有限公司,民营公司,150-500人,教育/培训/院校,08-15
少儿英语老师 英文主班,6-8千/月,西安-长安区,陕西小德兰教育科技有限公司,民营公司,少于50人,教育/培训/院校,08-15
中学英语老师,0.8-1万/月,武汉-汉阳区,武汉经济技术开发区晨之光教育培训中心,民营公司,500-1000人,教育/培训/院校,08-15
英语老师,0.8-1万/月,沈阳-皇姑区,沈阳优科教育科技有限公司,民营公司,少于50人,教育/培训/院校,08-15
英语老师双休年薪10万+,0.8-1万/月,金华,金华开发区励步英语培训中心有限公司,上市公司,150-500人,教育/培训/院校,08-15
新概念英语教师,6-8千/月,沈阳-铁西区,沈阳市铁西区赛家教育培训中心,民营公司,50-150人,教育/培训/院校,08-15
